TopDepth,BottomDepth,NO3_ppb,NO3_uM,TopAge,BottomAge
79.03,79.54,63.245,1.0201,193.7,195.6
79.54,80.09,71.926,1.1601,195.6,197.7
80.09,80.55,69.445,1.1201,197.7,199.4
80.55,81.09,62.005,1.0001,199.4,200.9
81.09,81.55,58.285,0.9401,200.9,202.4
81.55,82.05,66.345,1.0701,202.4,204.6
82.05,82.55,55.184,0.8901,204.6,206.7
82.55,83.1,57.045,0.9201,206.7,208.9
83.1,83.55,64.485,1.0401,208.9,211
83.55,84.09,63.245,1.0201,211,213.1
84.09,84.54,67.585,1.0901,213.1,214.7
84.54,85.04,71.306,1.1501,214.7,216.4
85.04,85.53,57.665,0.9301,216.4,218.3
85.53,86.03,63.245,1.0201,218.3,219.9
86.03,86.27,44.023,0.7100,219.9,220.7
86.27,86.76,83.087,1.3401,220.7,222.5
86.76,87.08,70.066,1.1301,222.5,223.8
87.08,87.5,99.208,1.6001,223.8,225.6
87.5,87.99,64.485,1.0401,225.6,227.2
87.99,88.36,81.226,1.3101,227.2,228.5
88.36,88.72,55.184,0.8901,228.5,229.9
88.72,89.21,66.965,1.0801,229.9,231.9
89.21,89.7,63.865,1.0301,231.9,233.7
89.7,90.19,70.066,1.1301,233.7,236.2
90.19,90.67,60.145,0.9701,236.2,237.9
90.67,91.16,71.306,1.1501,237.9,239.8
91.16,91.64,66.345,1.0701,239.8,241.6
91.64,92.12,62.005,1.0001,241.6,243.8
92.12,92.58,80.606,1.3001,243.8,245.9
92.58,93.09,81.226,1.3101,245.9,247.8
93.09,93.59,73.786,1.1901,247.8,250.2
93.59,94.09,68.205,1.1001,250.2,251.8
94.09,94.53,62.005,1.0001,251.8,253.3
94.53,95.01,71.926,1.1601,253.3,254.7
95.01,95.49,57.665,0.9301,254.7,256.8
95.49,95.96,61.385,0.9901,256.8,258.6
95.96,96.09,54.564,0.8801,258.6,259.1
96.09,96.63,62.625,1.0101,259.1,261
96.63,97.09,52.704,0.8501,261,262.6
97.09,97.59,66.345,1.0701,262.6,264.7
97.59,98.09,76.886,1.2401,264.7,266.4
98.09,98.58,58.285,0.9401,266.4,268.3
98.58,99.05,71.926,1.1601,268.3,270
99.05,99.52,62.625,1.0101,270,271.7
99.52,100.11,52.084,0.8401,271.7,273.6
100.11,100.46,66.965,1.0801,273.6,275.2
100.46,100.93,64.485,1.0401,275.2,276.8
100.93,101.4,85.567,1.3801,276.8,279
101.4,101.87,63.865,1.0301,279,280.9
101.87,102.34,70.066,1.1301,280.9,282.5
102.34,102.81,73.166,1.1801,282.5,284.1
102.81,103.27,58.285,0.9401,284.1,286.9
103.27,103.74,79.986,1.2901,286.9,288.8
103.74,104.2,75.646,1.2201,288.8,291
104.2,104.67,54.564,0.8801,291,292.6
104.67,105.09,58.285,0.9401,292.6,294
105.09,105.36,72.546,1.1701,294,294.9
105.36,105.83,64.485,1.0401,294.9,296.8
105.83,106.08,56.424,0.9101,296.8,297.9
106.08,106.519,66.345,1.0701,297.9,299.6
106.519,107.1,63.245,1.0201,299.6,302
107.1,107.44,66.965,1.0801,302,303.1
107.44,107.9,66.345,1.0701,303.1,304.7
107.9,108.36,74.406,1.2001,304.7,306.9
108.36,108.59,63.865,1.0301,306.9,307.6
108.59,109.05,71.306,1.1501,307.6,309.8
109.05,109.59,68.205,1.1001,309.8,312
109.59,109.96,72.546,1.1701,312,313.2
109.96,110.42,75.026,1.2101,313.2,314.6
110.42,110.87,75.026,1.2101,314.6,316.4
110.87,111.33,61.385,0.9901,316.4,318.2
111.33,111.78,83.087,1.3401,318.2,319.7
111.78,112.24,64.485,1.0401,319.7,321.2
112.24,112.69,58.285,0.9401,321.2,323.3
112.69,113.14,69.445,1.1201,323.3,325.7
113.14,113.6,63.865,1.0301,325.7,327
113.6,114.05,67.585,1.0901,327,328.8
114.05,114.5,75.026,1.2101,328.8,330.7
114.5,114.95,76.886,1.2401,330.7,332.3
114.95,115.09,103.548,1.6701,332.3,333
115.09,115.62,75.646,1.2201,333,334.7
115.62,116.1,87.427,1.4101,334.7,336.7
116.1,116.52,55.804,0.9001,336.7,338.1
116.52,116.97,73.166,1.1801,338.1,340.2
116.97,117.41,70.686,1.1401,340.2,342.1
117.41,117.86,69.445,1.1201,342.1,344.6
117.86,118.31,70.686,1.1401,344.6,346.4
118.31,118.75,69.445,1.1201,346.4,347.8
118.75,119.09,79.986,1.2901,347.8,349.5
119.09,119.39,66.965,1.0801,349.5,350.6
119.39,119.83,58.285,0.9401,350.6,352.4
119.83,120.28,55.184,0.8901,352.4,354.3
120.28,120.72,80.606,1.3001,354.3,356.1
120.72,121.16,81.226,1.3101,356.1,358.5
121.9,122.28,81.846,1.3201,361,362.3
122.28,122.5,73.166,1.1801,362.3,363
122.5,122.94,68.205,1.1001,363,364.7
122.94,123.39,50.224,0.8101,364.7,366.9
123.39,123.83,67.585,1.0901,366.9,368.2
123.83,124.07,89.287,1.4401,368.2,369.4
124.07,124.49,76.266,1.2301,369.4,371.3
124.49,124.93,70.066,1.1301,371.3,372.6
124.93,125.09,73.166,1.1801,372.6,373
125.09,125.37,66.965,1.0801,373,374.6
125.37,125.82,63.245,1.0201,374.6,376.4
125.82,126.26,70.686,1.1401,376.4,378.3
126.26,126.7,58.285,0.9401,378.3,380.3
126.7,127.09,62.005,1.0001,380.3,382
127.09,127.58,79.986,1.2901,382,383.9
127.58,128.02,83.707,1.3501,383.9,386.1
128.02,128.46,72.546,1.1701,386.1,387.9
128.46,128.9,57.045,0.9201,387.9,390
128.9,129.12,56.424,0.9101,390,391.2
129.12,129.56,70.066,1.1301,391.2,393.5
129.56,130,64.485,1.0401,393.5,395.3
130,130.44,53.944,0.8701,395.3,397.1
130.44,130.88,77.506,1.2501,397.1,399.2
130.88,131.09,66.965,1.0801,399.2,399.7
131.09,131.59,79.986,1.2901,399.7,401.6
131.59,132.09,59.525,0.9601,401.6,404
