TopDepth,BottomDepth,NO3_ppb,NO3_uM,TopAge,BottomAge
1306.07,1306.33,72.73,1.1731,7452.8,7455
1306.33,1306.59,69.79,1.1256,7455,7457
1306.59,1306.85,86.39,1.3934,7457,7459.2
1306.85,1307.11,65.81,1.0615,7459.2,7461.5
1307.11,1307.38,80.05,1.2911,7461.5,7464.2
1307.38,1307.64,76.47,1.2334,7464.2,7466.4
1307.64,1307.9,90.94,1.4668,7466.4,7468.6
1307.9,1308.16,87.48,1.4110,7468.6,7470.8
1308.16,1308.45,89.69,1.4466,7470.8,7473.7
1308.45,1308.69,82.33,1.3279,7473.7,7475.8
1308.69,1308.95,80.09,1.2918,7475.8,7478
1308.95,1309.21,82.87,1.3366,7478,7480.3
1309.21,1309.47,83.25,1.3427,7480.3,7482.4
1309.47,1309.73,88.62,1.4294,7482.4,7484.6
1309.73,1310,78.77,1.2705,7484.6,7486.8
1310,1310.26,69.12,1.1148,7486.8,7489.1
1310.26,1310.52,85.65,1.3815,7489.1,7491.5
1310.52,1310.78,74.69,1.2047,7491.5,7493.6
1310.78,1311.04,84.35,1.3605,7493.6,7496.2
1311.04,1311.3,85.93,1.3860,7496.2,7498.5
1311.3,1311.56,79.55,1.2831,7498.5,7500.6
1311.56,1311.83,75.62,1.2197,7500.6,7502.9
1311.83,1312.06,81.08,1.3077,7502.9,7504.8
1312.29,1312.35,85.28,1.3755,7506.5,7507
1312.35,1312.61,76.41,1.2324,7507,7508.9
1312.61,1312.87,71.71,1.1566,7508.9,7511.6
1312.87,1313.13,74.4,1.2000,7511.6,7514.1
1313.13,1313.39,67.58,1.0900,7514.1,7516.6
1313.39,1313.66,92.7,1.4952,7516.6,7518.8
1313.66,1313.92,73.45,1.1847,7518.8,7521.3
1313.92,1314.18,88.9,1.4339,7521.3,7523.2
1314.18,1314.44,78.48,1.2658,7523.2,7525.8
1314.7,1314.96,70.78,1.1416,7528.3,7530.5
1314.96,1315.22,84.33,1.3602,7530.5,7532.7
1315.22,1315.48,71.94,1.1603,7532.7,7535.6
1315.48,1315.74,59.91,0.9663,7535.6,7537.8
1315.74,1316,93.82,1.5132,7537.8,7540.2
1316,1316.27,87.61,1.4131,7540.2,7542.4
1316.27,1316.53,60.83,0.9811,7542.4,7544.6
1316.53,1316.79,60.67,0.9785,7544.6,7546.6
1316.79,1317.05,82.48,1.3303,7546.6,7549
1317.05,1317.31,75.89,1.2240,7549,7551.2
1317.31,1317.57,64.94,1.0474,7551.2,7553.2
1317.57,1317.7,65.62,1.0584,7553.2,7554.3
1317.83,1318.09,75.53,1.2182,7555.4,7557.5
1318.09,1318.35,81.58,1.3158,7557.5,7559.5
1318.35,1318.61,79.22,1.2777,7559.5,7561.7
1318.61,1318.87,96.44,1.5555,7561.7,7563.7
1318.87,1319.13,91.78,1.4803,7563.7,7566.2
1319.13,1319.39,72.39,1.1676,7566.2,7568.2
1319.39,1319.65,94.21,1.5195,7568.2,7570.2
1319.65,1319.91,86.72,1.3987,7570.2,7572.3
1319.91,1320.17,80.1,1.2919,7572.3,7574.4
1320.17,1320.43,78.29,1.2627,7574.4,7576.8
1320.43,1320.69,66.83,1.0779,7576.8,7579.2
1320.69,1320.95,78.94,1.2732,7579.2,7581.2
1320.95,1321.21,83.09,1.3402,7581.2,7583.8
1321.21,1321.47,77.41,1.2485,7583.8,7585.7
1321.47,1321.73,85.67,1.3818,7585.7,7587.8
1321.73,1322,79.23,1.2779,7587.8,7590.4
1322,1322.25,71.68,1.1561,7590.4,7592.5
1322.25,1322.51,73,1.1774,7592.5,7594.7
1322.51,1322.77,89.06,1.4365,7594.7,7596.5
1322.77,1323,77.45,1.2492,7596.5,7598.7
1323.02,1323.29,70.46,1.1365,7598.9,7601
1323.29,1323.55,81.48,1.3142,7601,7603.3
1323.55,1323.81,80.86,1.3042,7603.3,7605.6
1323.81,1324.07,78.94,1.2732,7605.6,7608
1324.07,1324.33,69.44,1.1200,7608,7609.8
1324.33,1324.59,102.6,1.6548,7609.8,7612
1324.59,1324.85,87.01,1.4034,7612,7614.3
1324.85,1325.11,78.74,1.2700,7614.3,7617.1
1325.11,1325.37,77.21,1.2453,7617.1,7619.4
1325.37,1325.63,67.39,1.0869,7619.4,7621.6
1325.63,1325.89,86.95,1.4024,7621.6,7624.2
1325.89,1326.15,82.02,1.3229,7624.2,7626.5
1326.15,1326.41,85.04,1.3716,7626.5,7629
1326.41,1326.67,66.47,1.0721,7629,7631.4
1326.67,1326.93,90.67,1.4624,7631.4,7634
1326.93,1327.19,74.34,1.1990,7634,7636.3
1327.19,1327.45,80.19,1.2934,7636.3,7638.6
1327.45,1327.7,65.58,1.0577,7638.6,7640.5
1327.7,1327.96,68.65,1.1073,7640.5,7642.7
1328,1328.22,80.71,1.3018,7643,7644.8
1328.22,1328.48,77.73,1.2537,7644.8,7646.9
1328.48,1328.74,80.06,1.2913,7646.9,7649.3
1328.74,1329,75.78,1.2223,7649.3,7651.5
1329,1329.26,76.73,1.2376,7651.5,7653.8
1329.26,1329.52,64.2,1.0355,7653.8,7655.9
1329.52,1329.78,82.44,1.3297,7655.9,7658
1329.78,1330.04,86.76,1.3994,7658,7660.3
1330.04,1330.29,70.64,1.1394,7660.3,7662.5
1330.29,1330.55,88.58,1.4287,7662.5,7665
1330.55,1330.81,67.39,1.0869,7665,7667.1
1330.81,1331.07,69.48,1.1206,7667.1,7669.6
1331.07,1331.33,79.81,1.2873,7669.6,7672.1
1331.33,1331.59,58.79,0.9482,7672.1,7674.9
1331.59,1331.85,74.96,1.2090,7674.9,7677.3
1331.85,1332.11,77.25,1.2460,7677.3,7679.1
1332.11,1332.36,87.11,1.4050,7679.1,7681.4
1332.36,1332.62,73.05,1.1782,7681.4,7683.6
1332.62,1332.88,72.18,1.1642,7683.6,7685.5
1332.88,1333.14,70.25,1.1331,7685.5,7687.8
1333.14,1333.4,67.13,1.0827,7687.8,7690
1333.4,1333.66,75.35,1.2153,7690,7692.1
1333.66,1333.91,60.44,0.9748,7692.1,7694
1333.91,1334.17,81.81,1.3195,7694,7695.9
1334.17,1334.43,84.19,1.3579,7695.9,7698.4
1334.43,1334.69,72.92,1.1761,7698.4,7700.5
1334.69,1334.95,90.02,1.4519,7700.5,7702.5
1334.95,1335.21,66.47,1.0721,7702.5,7704.7
1335.21,1335.43,74.37,1.1995,7704.7,7706.6
1335.47,1335.72,95.27,1.5366,7706.9,7709.4
1335.72,1336,102.2,1.6484,7709.4,7711.9
1336,1336.24,75.41,1.2163,7711.9,7714.1
1336.24,1336.5,78.12,1.2600,7714.1,7716.3
1336.5,1336.75,83.44,1.3458,7716.3,7719
1336.83,1337,82.09,1.3240,7719.8,7721.4
1337.01,1337.27,90.61,1.4615,7721.5,7724
1337.27,1337.53,90.37,1.4576,7724,7726.5
1337.53,1337.69,86.01,1.3873,7726.5,7727.9
1337.78,1338.04,72.38,1.1674,7728.7,7730.8
1338.04,1338.3,73.35,1.1831,7730.8,7733
1338.3,1338.56,62.18,1.0029,7733,7735.4
1338.56,1338.82,89.34,1.4410,7735.4,7737.5
1338.82,1339.07,81.98,1.3223,7737.5,7739.5
1339.07,1339.33,95.27,1.5366,7739.5,7742.3
1339.33,1339.59,79.53,1.2827,7742.3,7744.6
1339.59,1339.85,75.35,1.2153,7744.6,7746.3
1339.85,1340.1,66.78,1.0771,7746.3,7748.8
1340.1,1340.36,80.77,1.3027,7748.8,7750.9
1340.36,1340.62,82.11,1.3244,7750.9,7753.2
1340.62,1340.88,73.93,1.1924,7753.2,7755.4
1340.88,1341.07,61.2,0.9871,7755.4,7757
1341.13,1341.39,79.99,1.2902,7757.5,7759.7
1341.39,1341.65,79.42,1.2810,7759.7,7761.7
1341.65,1341.9,71.07,1.1463,7761.7,7763.9
1341.9,1342.16,78.71,1.2695,7763.9,7766.3
1342.16,1342.42,70.36,1.1348,7766.3,7768.6
1342.42,1342.68,83.17,1.3415,7768.6,7770.6
1342.68,1342.93,75.37,1.2156,7770.6,7772.6
1342.93,1343.19,81.71,1.3179,7772.6,7774.7
1343.19,1343.45,92.45,1.4911,7774.7,7777.5
1343.45,1343.7,94.73,1.5279,7777.5,7779.6
1343.7,1343.96,93.81,1.5131,7779.6,7781.8
1343.96,1344.22,91.14,1.4700,7781.8,7783.7
1344.22,1344.47,81.32,1.3116,7783.7,7785.9
1344.47,1344.73,77.4,1.2484,7785.9,7788.2
1344.73,1344.99,74.16,1.1961,7788.2,7790.6
1344.99,1345.24,79.73,1.2860,7790.6,7792.8
1345.24,1345.5,84.13,1.3569,7792.8,7795.1
1345.5,1345.72,85.08,1.3723,7795.1,7797
1345.76,1346.01,87.39,1.4095,7797.4,7799.4
1346.01,1346.27,75.17,1.2124,7799.4,7801.3
1346.27,1346.53,75.45,1.2169,7801.3,7803.3
1346.53,1346.78,67.87,1.0947,7803.3,7805.4
1346.78,1347.04,90.33,1.4569,7805.4,7807.7
1347.04,1347.3,89.75,1.4476,7807.7,7810.3
1347.3,1347.55,79.93,1.2892,7810.3,7812.4
1347.55,1347.81,75.93,1.2247,7812.4,7814.3
1347.81,1348.07,75.04,1.2103,7814.3,7816.4
1348.07,1348.32,72.02,1.1616,7816.4,7818.3
1348.32,1348.57,74.14,1.1958,7818.3,7820.5
1348.57,1348.83,85.83,1.3844,7820.5,7823
1348.83,1349.09,93.29,1.5047,7823,7825.2
1349.09,1349.35,77.96,1.2574,7825.2,7827.7
1349.35,1349.6,80.6,1.3000,7827.7,7829.7
1349.6,1349.86,81.1,1.3081,7829.7,7831.6
1349.86,1350.11,80.14,1.2926,7831.6,7833.8
1350.11,1350.35,64.4,1.0387,7833.8,7836.1
1350.36,1350.63,92.5,1.4919,7836.2,7838.4
1350.63,1350.88,78.65,1.2685,7838.4,7840.6
1350.88,1351.14,105.26,1.6977,7840.6,7843.2
1351.14,1351.39,67.34,1.0861,7843.2,7845.6
1351.39,1351.65,88.55,1.4282,7845.6,7848.1
1351.66,1351.91,77.69,1.2531,7848.2,7850.5
1351.93,1352.16,79.09,1.2756,7850.7,7852.6
1352.16,1352.42,89.04,1.4361,7852.6,7854.8
1352.42,1352.63,87.53,1.4118,7854.8,7856.2
1352.63,1352.93,79.99,1.2902,7856.2,7859
1352.93,1353.18,101.4,1.6355,7859,7860.9
1353.18,1353.44,84.09,1.3563,7860.9,7863.3
1353.44,1353.69,65.72,1.0600,7863.3,7865.8
1353.69,1353.95,84.61,1.3647,7865.8,7868.3
1353.95,1354.21,91.01,1.4679,7868.3,7870.8
1354.21,1354.46,98.19,1.5837,7870.8,7872.9
1354.46,1354.72,90.89,1.4660,7872.9,7874.9
1354.85,1354.97,93.47,1.5076,7876,7877.2
1354.97,1355.23,65.51,1.0566,7877.2,7879.4
1355.27,1355.48,63.57,1.0253,7879.7,7881.5
1355.48,1355.74,67.52,1.0890,7881.5,7883.9
1355.74,1355.99,91.61,1.4776,7883.9,7885.9
1356,1356.25,71.98,1.1610,7886,7888.3
1356.25,1356.5,78.58,1.2674,7888.3,7890.5
1356.5,1356.76,76.14,1.2281,7890.5,7893.3
1356.76,1357,68.29,1.1015,7893.3,7895.5
1357,1357.27,72.18,1.1642,7895.5,7897.6
1357.27,1357.52,84.79,1.3676,7897.6,7899.8
1357.52,1357.78,80.16,1.2929,7899.8,7902.1
1357.78,1358.03,76.3,1.2306,7902.1,7904.3
1358.03,1358.29,79.33,1.2795,7904.3,7907.1
1358.29,1358.54,77.34,1.2474,7907.1,7909.1
1358.54,1358.8,80.77,1.3027,7909.1,7911.4
1358.8,1359.05,81.09,1.3079,7911.4,7913.6
1359.05,1359.34,85.23,1.3747,7913.6,7916.1
1359.34,1359.56,91.3,1.4726,7916.1,7918
1359.56,1359.82,77.9,1.2565,7918,7920.5
1359.82,1360.07,74.91,1.2082,7920.5,7922.9
1360.07,1360.33,76.51,1.2340,7922.9,7924.9
1360.33,1360.58,75.59,1.2192,7924.9,7926.9
1360.58,1360.83,74.75,1.2056,7926.9,7929.3
1360.83,1361.09,71.94,1.1603,7929.3,7931.4
1361.09,1361.34,84.85,1.3685,7931.4,7933.6
1361.34,1361.6,68.38,1.1029,7933.6,7935.7
1361.6,1361.85,64.33,1.0376,7935.7,7938.1
1361.85,1362.11,73.61,1.1873,7938.1,7940.8
1362.11,1362.36,73.86,1.1913,7940.8,7943.3
1362.36,1362.61,86.57,1.3963,7943.3,7945.6
1362.61,1362.87,70.59,1.1385,7945.6,7948.4
1362.87,1363.12,83.32,1.3439,7948.4,7950.7
1363.12,1363.38,104.86,1.6913,7950.7,7953
1363.38,1363.63,74.7,1.2048,7953,7955.3
1363.63,1363.89,76.93,1.2408,7955.3,7957.5
1363.89,1364.14,75.22,1.2132,7957.5,7960.2
1364.14,1364.39,49.45,0.7976,7960.2,7962.5
1364.39,1364.65,79.31,1.2792,7962.5,7964.6
1364.65,1364.9,80.35,1.2960,7964.6,7966.9
1364.9,1365.15,65.86,1.0623,7966.9,7968.8
1365.15,1365.41,80.51,1.2985,7968.8,7971.2
1365.41,1365.66,79.01,1.2744,7971.2,7973.3
1365.66,1365.92,77.08,1.2432,7973.3,7975.6
1365.92,1366.17,90.47,1.4592,7975.6,7978.1
1366.17,1366.42,62.78,1.0126,7978.1,7980
1366.42,1366.68,75.08,1.2110,7980,7982.5
1366.68,1366.93,70.34,1.1345,7982.5,7984.7
1366.93,1367.18,84.97,1.3705,7984.7,7986.8
1367.18,1367.44,82.36,1.3284,7986.8,7988.7
1367.44,1367.69,71.02,1.1455,7988.7,7990.7
1367.69,1367.94,68.54,1.1055,7990.7,7992.8
1367.94,1368.2,74.62,1.2035,7992.8,7995.1
1368.2,1368.45,60.24,0.9716,7995.1,7997.4
1368.45,1368.71,82.56,1.3316,7997.4,7999.6
1368.71,1368.96,85.18,1.3739,7999.6,8001.9
1368.96,1369.21,60.16,0.9703,8001.9,8004.1
1369.21,1369.47,60.97,0.9834,8004.1,8006.9
1369.47,1369.72,85.36,1.3768,8006.9,8009.1
1369.72,1369.97,83.32,1.3439,8009.1,8011.3
1369.97,1370.22,82.46,1.3300,8011.3,8013.5
1370.22,1370.48,72.14,1.1635,8013.5,8016.1
1370.48,1370.58,83.18,1.3416,8016.1,8017.1
1371,1371.16,100.696,1.6241,8020.9,8022.2
1371.16,1371.5,66.841,1.0781,8022.2,8025.3
1371.5,1371.63,78.374,1.2641,8025.3,8026.4
1371.63,1371.94,77.94,1.2571,8026.4,8029.9
1371.94,1372.23,79.18,1.2771,8029.9,8032.6
1372.23,1372.63,86.001,1.3871,8032.6,8036.2
1372.63,1372.83,51.526,0.8311,8036.2,8037.7
1372.83,1373.23,65.725,1.0601,8037.7,8041.9
1373.23,1373.54,88.543,1.4281,8041.9,8044.1
1373.54,1373.73,111.857,1.8041,8044.1,8046.4
1373.73,1373.93,56.92,0.9181,8046.4,8048.3
1373.93,1374.21,49.356,0.7961,8048.3,8050.2
1374.21,1374.51,74.53,1.2021,8050.2,8052.2
1374.51,1374.74,74.158,1.1961,8052.2,8054.3
1374.74,1374.95,74.964,1.2091,8054.3,8056.2
1374.95,1375.15,56.61,0.9131,8056.2,8057.9
1375.15,1375.42,99.084,1.5981,8057.9,8059.9
1375.42,1375.61,68.825,1.1101,8059.9,8062
1375.61,1375.96,99.394,1.6031,8062,8065.6
1375.96,1376.19,81.784,1.3191,8065.6,8067.9
1376.19,1376.38,76.7,1.2371,8067.9,8070
1376.38,1376.63,73.166,1.1801,8070,8072.1
1376.63,1376.84,109.749,1.7701,8072.1,8073.9
1376.84,1377.16,59.215,0.9551,8073.9,8077
1377.16,1377.34,77.072,1.2431,8077,8078.9
1377.34,1377.67,77.878,1.2561,8078.9,8082
1377.67,1378,80.048,1.2911,8082,8085.4
1378,1378.23,86.249,1.3911,8085.4,8087.1
1378.23,1378.53,73.848,1.1911,8087.1,8089
1378.53,1378.88,70.5,1.1371,8089,8091
1378.88,1379.08,76.204,1.2291,8091,8092.7
1379.08,1379.36,82.157,1.3251,8092.7,8095
1379.36,1379.61,90.217,1.4551,8095,8096.8
1379.61,1379.86,92.263,1.4881,8096.8,8099.1
1379.86,1380.11,78.622,1.2681,8099.1,8101.1
1380.11,1380.36,75.584,1.2191,8101.1,8103.5
1380.36,1380.54,109.625,1.7681,8103.5,8105.1
1380.54,1380.81,72.36,1.1671,8105.1,8107.9
1380.81,1381.06,96.294,1.5531,8107.9,8110
1381.06,1381.27,79.676,1.2851,8110,8112
1381.27,1381.51,91.457,1.4751,8112,8114.3
1381.51,1381.72,68.577,1.1061,8114.3,8116.2
1381.72,1381.89,97.286,1.5691,8116.2,8118.1
1381.89,1382.11,87.985,1.4191,8118.1,8120
1382.11,1382.47,68.825,1.1101,8120,8122
1382.47,1382.65,82.715,1.3341,8122,8124
1382.65,1382.89,67.027,1.0811,8124,8126
1382.89,1383.1,68.887,1.1111,8126,8128.1
1383.1,1383.34,84.513,1.3631,8128.1,8129.9
1383.34,1383.56,85.009,1.3711,8129.9,8132
1383.56,1383.73,70.438,1.1361,8132,8133.4
1383.9,1384.24,77.444,1.2491,8135,8138.5
1384.24,1384.48,69.383,1.1191,8138.5,8141
1384.48,1384.74,94.992,1.5321,8141,8144.3
1384.74,1384.97,63.307,1.0211,8144.3,8146.8
1384.97,1385.18,79.304,1.2791,8146.8,8149
1385.18,1385.46,89.535,1.4441,8149,8152.1
1385.46,1385.67,74.964,1.2091,8152.1,8154
1385.67,1385.85,69.321,1.1181,8154,8155.8
1385.85,1386,82.591,1.3321,8155.8,8157.2
1386,1386.22,85.133,1.3731,8157.2,8159
1386.22,1386.36,103.982,1.6771,8159,8160.9
1386.36,1386.57,92.511,1.4921,8160.9,8162.2
1386.57,1386.76,94.309,1.5211,8162.2,8163.9
1386.76,1386.95,93.503,1.5081,8163.9,8165.9
1386.95,1387.12,101.254,1.6331,8165.9,8168.1
1387.12,1387.38,75.088,1.2111,8168.1,8170.1
1387.38,1387.58,96.976,1.5641,8170.1,8172
1387.58,1387.78,101.812,1.6421,8172,8173.1
1387.78,1387.94,78.684,1.2691,8173.1,8175.1
1387.94,1388.12,69.694,1.1241,8175.1,8177.1
1388.12,1388.35,77.754,1.2541,8177.1,8179
1388.35,1388.56,98.898,1.5951,8179,8181.1
1388.56,1388.72,75.584,1.2191,8181.1,8182.8
1388.72,1388.87,77.382,1.2481,8182.8,8184.4
1389,1389.11,94.93,1.5311,8185.6,8187.1
1389.11,1389.29,76.452,1.2331,8187.1,8189
1389.29,1389.44,85.071,1.3721,8189,8191.3
1389.44,1389.61,78.56,1.2671,8191.3,8193.1
1389.61,1389.82,82.157,1.3251,8193.1,8195.1
1389.82,1390,70.934,1.1441,8195.1,8197
1390,1390.18,89.597,1.4451,8197,8199
1390.18,1390.32,77.382,1.2481,8199,8200
1390.32,1390.46,75.15,1.2121,8200,8201.6
1390.46,1390.63,86.683,1.3981,8201.6,8203.1
1390.63,1390.87,92.325,1.4891,8203.1,8205.2
1390.87,1391,114.399,1.8451,8205.2,8206.3
1391,1391.17,89.287,1.4401,8206.3,8208
1391.17,1391.32,112.973,1.8221,8208,8209.2
1391.32,1391.47,93.751,1.5121,8209.2,8210.6
1391.47,1391.66,116.941,1.8861,8210.6,8212.1
1391.66,1391.78,103.92,1.6761,8212.1,8213
1391.78,1391.95,89.721,1.4471,8213,8214.9
1391.95,1392.18,85.753,1.3831,8214.9,8217.1
1392.18,1392.36,78.25,1.2621,8217.1,8218.9
1392.36,1392.58,102.742,1.6571,8218.9,8220.8
1392.58,1392.77,81.846,1.3201,8220.8,8222.8
1392.77,1392.95,91.705,1.4791,8222.8,8224.8
1392.95,1393.2,89.597,1.4451,8224.8,8226.9
1393.2,1393.41,93.875,1.5141,8226.9,8229
1393.41,1393.59,82.777,1.3351,8229,8231
1393.59,1393.78,81.226,1.3101,8231,8232.8
1393.78,1393.95,92.697,1.4951,8232.8,8234.7
1393.95,1394.09,80.73,1.3021,8234.7,8235.9
1394.09,1394.27,101.006,1.6291,8235.9,8237.9
1394.27,1394.44,87.799,1.4161,8237.9,8240
1394.44,1394.64,75.336,1.2151,8240,8242.4
1394.64,1394.78,63.679,1.0271,8242.4,8243.7
1394.78,1395,81.908,1.3211,8243.7,8246.2
1395,1395.14,107.392,1.7321,8246.2,8247.4
1395.14,1395.26,88.047,1.4201,8247.4,8248.6
1395.26,1395.42,89.101,1.4371,8248.6,8250.1
1395.42,1395.56,86.869,1.4011,8250.1,8251.4
1395.56,1395.7,72.608,1.1711,8251.4,8253.4
1395.7,1395.83,90.031,1.4521,8253.4,8254.7
1395.83,1395.96,73.042,1.1781,8254.7,8255.7
1395.96,1396.23,88.729,1.4311,8255.7,8258.3
1396.23,1396.36,78.808,1.2711,8258.3,8259.5
1396.36,1396.52,80.606,1.3001,8259.5,8260.9
1396.52,1396.74,58.781,0.9481,8260.9,8262.8
1396.74,1396.9,82.405,1.3291,8262.8,8264.1
1396.9,1397.05,74.902,1.2081,8264.1,8265.6
1397.05,1397.2,98.898,1.5951,8265.6,8267.6
1397.2,1397.43,94.681,1.5271,8267.6,8270.5
1397.43,1397.67,79.242,1.2781,8270.5,8273
1397.67,1397.91,71.492,1.1531,8273,8275.4
1397.91,1398.16,73.6,1.1871,8275.4,8278.1
1398.16,1398.31,78.188,1.2611,8278.1,8280
1398.31,1398.46,78.374,1.2641,8280,8281.3
1398.46,1398.64,104.416,1.6841,8281.3,8283.1
1398.64,1398.79,62.253,1.0041,8283.1,8284.7
1398.79,1399.07,96.728,1.5601,8284.7,8286.9
1399.07,1399.25,83.087,1.3401,8286.9,8288
1399.25,1399.41,81.102,1.3081,8288,8289.7
1399.41,1399.54,62.501,1.0081,8289.7,8291
1399.54,1399.76,74.716,1.2051,8291,8293
1399.76,1399.92,83.397,1.3451,8293,8295
1399.92,1400.14,76.452,1.2331,8295,8296.8
1400.14,1400.26,66.345,1.0701,8296.8,8298.2
1400.26,1400.42,87.179,1.4061,8298.2,8299.6
1400.42,1400.55,89.783,1.4481,8299.6,8301.1
1400.55,1400.67,65.291,1.0531,8301.1,8301.8
1400.67,1400.83,75.956,1.2251,8301.8,8302.9
1400.83,1401,97.038,1.5651,8302.9,8303.8
1401,1401.16,94.743,1.5281,8303.8,8305
1401.16,1401.28,60.517,0.9761,8305,8306.4
1401.28,1401.45,76.452,1.2331,8306.4,8308.2
1401.45,1401.61,98.402,1.5871,8308.2,8309.3
1401.61,1401.8,67.523,1.0891,8309.3,8310.8
1401.8,1401.9,78.746,1.2701,8310.8,8312.1
1401.9,1402.09,60.331,0.9731,8312.1,8313.9
1402.09,1402.19,101.502,1.6371,8313.9,8314.6
1402.19,1402.37,95.922,1.5471,8314.6,8316.1
1402.37,1402.51,73.848,1.1911,8316.1,8317.5
1402.51,1402.67,70.686,1.1401,8317.5,8318.9
1402.67,1402.81,73.972,1.1931,8318.9,8319.8
1402.81,1402.89,59.835,0.9651,8319.8,8320.4
1402.89,1403.08,82.529,1.3311,8320.4,8322.3
1403.08,1403.26,73.228,1.1811,8322.3,8324
1403.26,1403.44,74.282,1.1981,8324,8325.7
1403.44,1403.6,105.16,1.6961,8325.7,8327.2
1403.6,1403.79,72.422,1.1681,8327.2,8329
1403.79,1403.91,94.433,1.5231,8329,8330
1403.91,1404.06,94.061,1.5171,8330,8330.8
1404.06,1404.17,91.023,1.4681,8330.8,8331.8
1404.17,1404.37,75.212,1.2131,8331.8,8334
1404.37,1404.57,93.875,1.5141,8334,8336.1
1404.69,1404.84,89.535,1.4441,8337.5,8339.1
1404.84,1405,63.927,1.0311,8339.1,8340.5
1405.03,1405.13,86.249,1.3911,8340.8,8342.1
1405.13,1405.26,101.75,1.6411,8342.1,8343
1405.26,1405.39,95.24,1.5361,8343,8343.9
1405.39,1405.47,83.645,1.3491,8343.9,8344.5
1405.47,1405.63,95.984,1.5481,8344.5,8346
1405.63,1405.76,78.746,1.2701,8346,8347.7
1405.76,1405.89,87.985,1.4191,8347.7,8348.8
1405.89,1405.99,52.828,0.8521,8348.8,8350.3
1405.99,1406.1,72.794,1.1741,8350.3,8351.2
1406.1,1406.31,77.444,1.2491,8351.2,8352.9
1406.31,1406.5,106.772,1.7221,8352.9,8355.1
1406.5,1406.64,61.385,0.9901,8355.1,8357
1406.64,1406.74,69.011,1.1131,8357,8358
1406.74,1406.86,81.784,1.3191,8358,8359.1
1406.86,1406.99,87.055,1.4041,8359.1,8360.1
1406.99,1407.11,56.734,0.9151,8360.1,8361
1407.11,1407.25,82.343,1.3281,8361,8362.9
1407.25,1407.35,105.532,1.7021,8362.9,8363.9
1407.35,1407.52,81.846,1.3201,8363.9,8365
1407.52,1407.63,85.567,1.3801,8365,8366.6
1407.63,1407.7,79.862,1.2881,8366.6,8367.5
1407.7,1407.79,78.56,1.2671,8367.5,8368.3
1407.79,1407.9,84.203,1.3581,8368.3,8369.4
1407.9,1408,70.376,1.1351,8369.4,8370.2
1408,1408.09,106.462,1.7171,8370.2,8371
1408.09,1408.19,95.984,1.5481,8371,8371.9
1408.19,1408.31,86.063,1.3881,8371.9,8373.2
1408.31,1408.39,35.901,0.5790,8373.2,8374
1408.39,1408.51,91.209,1.4711,8374,8374.9
1408.51,1408.66,80.11,1.2921,8374.9,8376
1408.66,1408.81,86.249,1.3911,8376,8377.3
1408.81,1408.9,66.345,1.0701,8377.3,8378.4
1408.9,1409.01,69.508,1.1211,8378.4,8379.7
1409.01,1409.11,99.332,1.6021,8379.7,8381.1
1409.11,1409.22,74.53,1.2021,8381.1,8382
1409.22,1409.34,83.769,1.3511,8382,8383
1409.34,1409.41,72.298,1.1661,8383,8383.6
1409.41,1409.5,80.73,1.3021,8383.6,8384.3
1409.5,1409.62,68.887,1.1111,8384.3,8385.3
1409.62,1409.78,68.019,1.0971,8385.3,8387.1
1409.78,1409.89,87.179,1.4061,8387.1,8388
1409.89,1410,84.327,1.3601,8388,8388.9
1410,1410.1,88.295,1.4241,8388.9,8390
1410.1,1410.22,90.837,1.4651,8390,8391.6
1410.22,1410.28,74.034,1.1941,8391.6,8392.3
1410.28,1410.38,76.576,1.2351,8392.3,8393.1
1410.38,1410.46,76.142,1.2281,8393.1,8393.8
1410.46,1410.67,69.632,1.1231,8393.8,8395.9
1410.67,1410.92,75.026,1.2101,8395.9,8397.5
1410.92,1411.18,78.808,1.2711,8397.5,8399.4
1411.18,1411.38,86.373,1.3931,8399.4,8401.3
1411.38,1411.57,87.241,1.4071,8401.3,8403.1
1411.57,1411.79,91.395,1.4741,8403.1,8405.6
1411.79,1412.14,79.986,1.2901,8405.6,8408.3
1412.14,1412.41,81.288,1.3111,8408.3,8410.7
1412.41,1412.63,81.784,1.3191,8410.7,8413.3
1412.63,1412.82,84.141,1.3571,8413.3,8415.4
1412.82,1413.08,89.659,1.4461,8415.4,8418.1
1413.08,1413.27,62.563,1.0091,8418.1,8419.9
1413.27,1413.46,95.054,1.5331,8419.9,8422.2
1413.46,1413.61,92.325,1.4891,8422.2,8423.8
1413.61,1413.9,87.303,1.4081,8423.8,8426.9
1413.9,1414.1,89.349,1.4411,8426.9,8428.4
1414.1,1414.24,75.212,1.2131,8428.4,8429.5
1414.24,1414.4,85.939,1.3861,8429.5,8430.8
1414.4,1414.69,71.864,1.1591,8430.8,8432.7
1414.69,1414.8,75.956,1.2251,8432.7,8433.8
1414.8,1415.04,75.46,1.2171,8433.8,8435.9
1415.04,1415.24,86.869,1.4011,8435.9,8438
1415.24,1415.4,84.823,1.3681,8438,8439.9
1415.8,1415.92,60.765,0.9801,8442.9,8443.8
1415.92,1416.1,82.839,1.3361,8443.8,8446.1
1416.1,1416.32,75.956,1.2251,8446.1,8448
1416.32,1416.54,103.486,1.6691,8448,8450.2
1416.54,1416.69,97.286,1.5691,8450.2,8452.2
